,X,Y,OBJECTID,FIRE_ID,FIRE_NAME,ASMNT_TYPE,FIRE_TYPE,NODATA_THRESHOLD,GREENNESS_THRESHOLD,LOW_THRESHOLD,MODERATE_THRESHOLD,HIGH_THRESHOLD,IG_DATE,LATITUDE,LONGITUDE,ACRES,IRWINID,MAP_ID,MAP_PROG,PERIM_ID,DNBR_OFFST,DNBR_STDDV,COMMENTS,PRE_ID,POST_ID,state_fips,county_fips,fips,county_name,population
10,-122.591440654,39.981115132,830755,CA3998112259119840712,LOWERY,Initial,Wildfire,-970,-150,100,331,600,1984/07/12 00:00:00+00,39.981,-122.591,2868,,4571,MTBS,,-35,-9999,Lowery,504503219840610,504503219840728,6,103,6103,"Tehama County, California",65829
11,-122.451371577,39.392221245,830756,CA3939212245119841024,CLARK VALLEY,Extended,Wildfire,-970,-150,120,252,440,1984/10/24 00:00:00+00,39.392,-122.451,1470,,4572,MTBS,,42,-9999,,504503319840728,504503319850715,6,21,6021,"Glenn County, California",28917
12,-120.154465754,35.097024756,830801,CA3509712015419840528,SHELL PEAK,Initial (SS),Prescribed Fire,9999,9999,-40,-160,-9999,1984/05/28 00:00:00+00,35.097,-120.154,1777,,4623,MTBS,,-9999,-9999,,,504203619840707,6,79,6079,"San Luis Obispo County, California",282424
13,-121.974722813,40.646670147,830802,CA4064712197519841005,DANIELS,Extended,Prescribed Fire,-970,-150,85,326,600,1984/10/05 00:00:00+00,40.647,-121.975,2415,,4624,MTBS,,-13,-9999,Daniels,504503219840728,504503219850715,6,89,6089,"Shasta County, California",182155
14,-120.730923698,38.163905092,830803,CA3816412073119840912,BEAR MTN. 3,Initial (SS),Prescribed Fire,9999,9999,300,64,-299,1984/09/12 00:00:00+00,38.164,-120.731,1775,,4625,MTBS,,-9999,-9999,,,504303419841103,6,9,6009,"Calaveras County, California",45292
15,-121.816577077,40.011305848,830804,CA4001112181719840907,BRUSHY,Initial (SS),Wildfire,9999,9999,207,-34,-179,1984/09/07 00:00:00+00,40.011,-121.817,2795,,4626,MTBS,,-9999,-9999,,,504403219840907,6,103,6103,"Tehama County, California",65829
16,-122.440240717,38.984845017,830805,CA3898512244019841128,TERHEL VMP,Extended,Prescribed Fire,-970,-150,120,312,550,1984/11/28 00:00:00+00,38.985,-122.44,2823,,4627,MTBS,504503319850309,39,-9999,,504503319840728,504503319850715,6,33,6033,"Lake County, California",68163
17,-122.44621962,39.265610042,830806,CA3927012245319841128,HUFFMASTER VMP,Extended,Prescribed Fire,-970,-150,140,319,550,1984/11/28 00:00:00+00,39.27,-122.453,1846,,4628,MTBS,504503319850309,18,-9999,,504503319840728,504503319850715,6,11,6011,"Colusa County, California",21839
18,-118.480165772,34.448738099,830807,CA3444911848019840622,SCUDDER BURN,Initial (SS),Prescribed Fire,9999,9999,-65,-332,-450,1984/06/22 00:00:00+00,34.449,-118.48,1035,,4629,MTBS,,-9999,-9999,perimeter by others in prior mapping,,504103619840630,6,37,6037,"Los Angeles County, California",10014009
19,-120.500515698,34.806764977,830808,CA3480712050119840507,MINUTEMAN,Initial (SS),Wildfire,9999,9999,-25,-265,-9999,1984/05/07 00:00:00+00,34.807,-120.501,3159,,4630,MTBS,,-9999,-9999,Single scene assessment,,504203619840707,6,83,6083,"Santa Barbara County, California",448229
20,-121.696472102,39.784464467,830809,CA3978412169619840702,BIDWELL,Extended,Wildfire,-970,-150,50,400,9999,1984/07/02 00:00:00+00,39.784,-121.696,6012,,4631,MTBS,504403219840907,31,-9999,Bidwell; Used Sept 7  1984 Landsat 5 image to help delineate perimeter,404403219830812,504403219850825,6,7,6007,"Butte County, California",211632
21,-120.316818275,36.259882998,830810,CA3626012031719840525,OIL FIELDS,Initial (SS),Wildfire,9999,9999,-50,-212,-9999,1984/05/25 00:00:00+00,36.26,-120.317,1136,,4633,MTBS,,-9999,-9999,,,504303519840730,6,19,6019,"Fresno County, California",1008654
22,-119.285592578,34.905466672,830811,CA3490511928619840810,BLUE,Extended,Wildfire,-970,-150,90,179,325,1984/08/10 00:00:00+00,34.905,-119.286,1977,,4634,MTBS,,-38,-9999,Hard to determine fire perimeter,504203619840707,504203619850726,6,29,6029,"Kern County, California",909235
23,-118.194588727,34.550633357,830812,CA3455211818319840529,SHANNON FIRE,Initial (SS),Wildfire,9999,9999,-45,-200,-9999,1984/05/29 00:00:00+00,34.552,-118.183,3554,,4635,MTBS,,-9999,-9999,Single scene assessment,,504103619840630,6,37,6037,"Los Angeles County, California",10014009
24,-121.161657616,37.097551897,830813,CA3709812116219840521,COTTONWOOD,Initial (SS),Wildfire,9999,9999,40,-275,-9999,1984/05/21 00:00:00+00,37.098,-121.162,1409,,4636,MTBS,,-9999,-9999,,,504303419840730,6,47,6047,"Merced County, California",281202
25,-116.886347827,32.681551281,830814,CA3268211688619840421,PROCTOR,Initial,Wildfire,-970,-150,130,359,630,1984/04/21 00:00:00+00,32.682,-116.886,3021,,4637,MTBS,,38,-9999,,504003719840420,504003719840506,6,73,6073,"San Diego County, California",3298634
26,-116.935272774,32.945380192,830815,CA3294511693519840906,BOWLES,Extended (SS),Wildfire,9999,9999,200,-116,-9999,1984/09/06 00:00:00+00,32.945,-116.935,3073,,4638,MTBS,,-9999,-9999,,,504003719850626,6,73,6073,"San Diego County, California",3298634
27,-117.727585415,33.742927787,830816,CA3375011772919840615,LOMA RIDGE,Initial,Wildfire,-970,-150,80,286,530,1984/06/15 00:00:00+00,33.75,-117.729,1384,,4639,MTBS,,15,-9999,,504003719840506,504003719840623,6,59,6059,"Orange County, California",3186989
28,-121.47429342,37.651258841,830817,CA3765112147419840628,SITE 300 3,Initial (SS),Wildfire,9999,9999,100,-75,-9999,1984/06/28 00:00:00+00,37.651,-121.474,6911,,4641,MTBS,,-9999,-9999,,,504403419840907,6,77,6077,"San Joaquin County, California",779233
29,-120.393514986,35.196638344,830818,CA3519712039419840629,BONNHEIM,Initial (SS),Wildfire,9999,9999,-30,-150,-9999,1984/06/29 00:00:00+00,35.197,-120.394,1622,,4642,MTBS,,-9999,-9999,,,504203619840707,6,79,6079,"San Luis Obispo County, California",282424
30,-118.868843831,36.313711611,830819,CA3631411886919840821,BLUE RIDGE,Extended,Wildfire,-970,-150,90,274,500,1984/08/21 00:00:00+00,36.314,-118.869,1566,,4643,MTBS,,8,-9999,Edited Ca. Dept. Forestry perimeter,504203519840707,504203519850726,6,107,6107,"Tulare County, California",473117
31,-118.882149967,36.509757601,830820,CA3651011888219841010,BEAR CREEK,Extended,Wildfire,-970,-150,110,254,450,1984/10/10 00:00:00+00,36.51,-118.882,1306,,4644,MTBS,,20,-9999,Hard to determine fire perimeter,504203519840707,504203519850726,6,107,6107,"Tulare County, California",473117
32,-118.89551486,34.443135343,830821,CA3444311889619841015,SQUAW FLAT,Extended,Wildfire,-970,-150,20,300,9999,1984/10/15 00:00:00+00,34.44,-118.892,6048,,4646,MTBS,,-9,35,,504103619840630,504103619850617,6,111,6111,"Ventura County, California",843843
33,-117.725570306,34.451776971,830837,CA3445211772619840706,MESCAL,Initial,Wildfire,-970,-150,75,9999,9999,1984/07/06 00:00:00+00,34.452,-117.726,1479,,4662,MTBS,,-30,-9999,,504103619840630,504103619840801,6,37,6037,"Los Angeles County, California",10014009
34,-116.87311437,33.413235409,830838,CA3341311687319840530,AGUANGA,Extended,Wildfire,-970,-150,50,151,300,1984/05/30 00:00:00+00,33.413,-116.873,5564,,4663,MTBS,,-16,-9999,,504003719840323,504003719850423,6,73,6073,"San Diego County, California",3298634
35,-120.546613414,35.25324526,830839,CA3525312054719840529,MORETZZ,Initial (SS),Wildfire,9999,9999,200,-178,-414,1984/05/29 00:00:00+00,35.253,-120.547,1585,,4664,MTBS,,-9999,-9999,,,504303619840628,6,79,6079,"San Luis Obispo County, California",282424
36,-120.650402786,41.923007313,830840,CA4192312065019840813,RAIL,Extended,Wildfire,-970,-150,75,203,380,1984/08/13 00:00:00+00,41.923,-120.65,3025,,4665,MTBS,,0,-9999,,504403119840705,504403119850622,6,49,6049,"Modoc County, California",8700
37,-120.139590307,40.033633065,830841,CA4003412014019840821,SECOND,Extended,Wildfire,-970,-150,40,120,9999,1984/08/21 00:00:00+00,40.034,-120.14,1201,,4666,MTBS,,-6,-9999,,504303219840628,504303219850615,6,35,6035,"Lassen County, California",32730
38,-117.553571764,34.285302242,830842,CA3428511755419840528,LYTLE,Extended,Wildfire,-970,-150,75,268,500,1984/05/28 00:00:00+00,34.285,-117.554,2442,,4667,MTBS,,27,-9999,,504003619840323,504003619850407,6,71,6071,"San Bernardino County, California",2181654
39,-116.255122198,34.022816083,830853,CA3402311625519840531,LOST HORSE,Initial (SS),Wildfire,9999,9999,-90,-201,-275,1984/05/31 00:00:00+00,34.023,-116.255,4130,,4678,MTBS,,-9999,-9999,,,504003619840623,6,65,6065,"Riverside County, California",2418185
40,-121.406856223,40.55463004,830854,CA4054812140719840823,BADGER,Extended,Wildfire,-970,-150,120,350,620,1984/08/23 00:00:00+00,40.548,-121.407,1113,,4679,MTBS,,10,-9999,Badger,404403219830812,504403219850825,6,89,6089,"Shasta County, California",182155
41,-118.586177635,34.85593111,830891,CA3485611858619840630,UNNAMED,Initial (SS),Unknown,9999,9999,-20,-9999,-9999,1984/06/30 00:00:00+00,34.856,-118.586,1539,,4717,MTBS,,-9999,-9999,,,504103619840630,6,29,6029,"Kern County, California",909235
42,-120.203779293,35.140578388,830892,CA3514112020419840621,UNNAMED,Initial (SS),Unknown,9999,9999,50,-100,-200,1984/06/21 00:00:00+00,35.141,-120.204,2053,,4718,MTBS,,-9999,-9999,Single scene assessment,,504203619840707,6,79,6079,"San Luis Obispo County, California",282424
43,-119.48557715,35.252768421,830893,CA3525311948619840621,UNNAMED,Initial (SS),Unknown,9999,9999,-190,-9999,-9999,1984/06/21 00:00:00+00,35.253,-119.486,1910,,4719,MTBS,,-9999,-9999,Single scene assessment,,504203619840707,6,29,6029,"Kern County, California",909235
44,-118.885822679,35.499468623,830894,CA3549911888619840621,UNNAMED,Initial (SS),Unknown,9999,9999,-70,-9999,-9999,1984/06/21 00:00:00+00,35.499,-118.886,1059,,4720,MTBS,,-9999,-9999,Single scene assessment,,504203519840707,6,29,6029,"Kern County, California",909235
45,-121.234321383,35.929304202,830895,CA3592912123419840628,UNNAMED,Initial (SS),Unknown,9999,9999,30,-142,-230,1984/06/28 00:00:00+00,35.929,-121.234,23122,,4721,MTBS,,-9999,-9999,Perimeter hard to tell in certain areas,,504303519840730,6,53,6053,"Monterey County, California",439035
46,-120.755352971,35.766294017,830896,CA3576612075519840628,UNNAMED,Initial (SS),Unknown,9999,9999,150,-9999,-9999,1984/06/28 00:00:00+00,35.766,-120.755,3020,,4722,MTBS,,-9999,-9999,,,504303519840730,6,79,6079,"San Luis Obispo County, California",282424
47,-121.292799058,36.049631837,830897,CA3605012129319840628,UNNAMED,Initial (SS),Unknown,9999,9999,20,-130,-230,1984/06/28 00:00:00+00,36.05,-121.293,10420,,4723,MTBS,,-9999,-9999,,,504303519840730,6,53,6053,"Monterey County, California",439035
48,-121.052119687,36.208270754,830898,CA3620812105219840628,UNNAMED,Initial (SS),Unknown,9999,9999,75,-9999,-9999,1984/06/28 00:00:00+00,36.208,-121.052,1219,,4724,MTBS,,-9999,-9999,,,504303519840730,6,53,6053,"Monterey County, California",439035
49,-121.290004414,36.26853581,830899,CA3626912129019840628,UNNAMED,Initial (SS),Unknown,9999,9999,200,-9999,-9999,1984/06/28 00:00:00+00,36.269,-121.29,1225,,4725,MTBS,,-9999,-9999,,,504303519840730,6,53,6053,"Monterey County, California",439035
50,-117.353008609,36.455252689,830900,CA3646011736319840630,UNNAMED,Initial (SS),Unknown,9999,9999,-70,-210,-9999,1984/06/30 00:00:00+00,36.46,-117.363,1596,,4726,MTBS,,-9999,-9999,,,504103519840630,6,27,6027,"Inyo County, California",19016
51,-120.007624701,37.641672483,830902,CA3764212000819841103,UNNAMED,Extended,Unknown,-970,-150,130,245,420,1984/11/03 00:00:00+00,37.642,-120.008,1771,,4731,MTBS,504303419850802,-47,-9999,,504303419840730,504303419860805,6,43,6043,"Mariposa County, California",17131
52,-120.383213078,37.932872957,830905,CA3793312038319840730,UNNAMED,Initial (SS),Unknown,9999,9999,30,-84,-160,1984/07/30 00:00:00+00,37.933,-120.383,2033,,4734,MTBS,,-9999,-9999,,,504303419840730,6,109,6109,"Tuolumne County, California",55620
53,-121.803983196,39.951457207,830906,CA3995112180419840705,UNNAMED,Initial (SS),Unknown,9999,9999,200,-125,-9999,1984/07/05 00:00:00+00,39.951,-121.804,2672,,4735,MTBS,,-9999,-9999,Perimeter hard to distinguish.,,504403219840907,6,103,6103,"Tehama County, California",65829
54,-121.872243319,40.116125997,830907,CA4011612187219840907,UNNAMED,Initial,Unknown,-970,-150,90,301,550,1984/09/07 00:00:00+00,40.116,-121.872,3448,,4736,MTBS,,32,-9999,,404403219830812,504403219840907,6,103,6103,"Tehama County, California",65829
55,-117.637827254,33.710763103,830947,CA3370911761819840126,MODJESKA,Extended (SS),Wildfire,9999,9999,150,-70,-170,1984/01/26 00:00:00+00,33.708,-117.639,1266,,10005362,MTBS,504003719840323,-9999,-9999,,,504003719840623,6,59,6059,"Orange County, California",3186989
56,-118.810414281,37.996653587,830955,CA3795011883419840929,COW,Initial (SS),Wildfire,9999,9999,35,-120,-9999,1984/09/29 00:00:00+00,37.996,-118.807,3273,,10005677,MTBS,,-9999,-9999,,,504203419841027,6,51,6051,"Mono County, California",13195
57,-120.204491889,37.743507192,830959,CA3772412019319840827,COULTERVILLE VMP,Initial (SS),Prescribed Fire,9999,9999,400,100,-150,1984/08/27 00:00:00+00,37.743,-120.207,2005,,10005827,MTBS,,-9999,-9999,,,504303419841103,6,43,6043,"Mariposa County, California",17131
58,-119.606896285,37.783898089,830970,CA3778811960519840717,ANN AND PORKIES II,Extended,Wildfire,-970,-150,40,232,450,1984/07/17 00:00:00+00,37.78,-119.61,1016,,10008377,MTBS,,1,28,Original NPS fire perimeter used with slight edited.,504203419840707,504203419850811,6,43,6043,"Mariposa County, California",17131
59,-117.448658116,36.549509747,830974,CA3655011744919840630,UNNAMED,Initial,Unknown,-970,-150,40,9999,9999,1984/06/30 00:00:00+00,36.549,-117.447,5585,,10019291,MTBS,,6,13,No high or moderate severity was identified.,504103519840529,504103519840630,6,27,6027,"Inyo County, California",19016
60,-119.834103173,35.397772956,830975,CA3539611983319840819,TWISSELMAN,Initial (SS),Wildfire,9999,9999,50,-9999,-9999,1984/08/19 00:00:00+00,35.398,-119.832,5091,,10019870,MTBS,,-72,-9999,Used SS due to no available pre image.,504203519840707,504203519841027,6,29,6029,"Kern County, California",909235
61,-120.134007571,35.898835496,830977,CA3589912013419840525,FLAT TOP,Initial,Wildfire,-970,-150,50,9999,9999,1984/05/25 00:00:00+00,35.896,-120.133,6661,,10020678,MTBS,,22,15,,504303519840511,504303519840527,6,31,6031,"Kings County, California",152486
62,-118.964991497,34.331078336,830978,CA3433111896419840507,GRIMES FIRE,Initial,Wildfire,-970,-150,60,450,700,1984/05/07 00:00:00+00,34.327,-118.963,10542,,10021377,MTBS,,11,24,Small amounts of high severity was identified.,504203619840504,504103619840513,6,111,6111,"Ventura County, California",843843
63,-120.940747294,36.744297569,830980,CA3674412094119840602,BONANZA,Initial,Wildfire,-970,-150,40,9999,9999,1984/06/02 00:00:00+00,36.748,-120.938,12105,,10021382,MTBS,,7,17,No high or moderate severity was identified.,504303519840527,504303519840612,6,69,6069,"San Benito County, California",64209
64,-118.796818571,36.011342332,830994,CA3601111879719850712,TULARE 4,Initial,Wildfire,-970,-150,90,233,425,1985/07/12 00:00:00+00,36.011,-118.797,1290,,4752,MTBS,,62,-9999,,504203519840707,504203519850726,6,107,6107,"Tulare County, California",473117
65,-118.776633041,35.44346844,831017,CA3544311877719850503,ADELAIDE,Initial,Wildfire,-970,-150,50,300,9999,1985/05/03 00:00:00+00,35.443,-118.777,1054,,4776,MTBS,,2,-9999,,504103519840630,504103519850703,6,29,6029,"Kern County, California",909235
66,-120.76843142,36.726945391,831018,CA3672712076819850609,PONOCHE 2,Initial (SS),Wildfire,9999,9999,-30,-9999,-9999,1985/06/09 00:00:00+00,36.727,-120.768,7508,,4777,MTBS,,-9999,-9999,,,504303519850802,6,19,6019,"Fresno County, California",1008654
67,-120.563334512,35.902531041,831019,CA3590312056319850702,LOWES,Extended,Wildfire,-970,-150,140,265,450,1985/07/02 00:00:00+00,35.903,-120.563,2708,,4778,MTBS,504303519850802,33,-9999,,504303519840730,504303519860720,6,53,6053,"Monterey County, California",439035
68,-118.252146045,36.738947242,831020,CA3673911825219850706,ONION,Extended,Wildfire,-970,-150,-50,300,9999,1985/07/06 00:00:00+00,36.739,-118.252,8583,,4779,MTBS,,-34,-9999,grass fire hard to tell the perimeter,504103519850703,504103519860706,6,27,6027,"Inyo County, California",19016
69,-120.583218011,36.378932809,831021,CA3637912058319850706,LOSGATOSIV,Extended,Wildfire,-970,-150,90,252,460,1985/07/06 00:00:00+00,36.379,-120.583,20357,,4780,MTBS,,25,-9999,,504303519840730,504303519860720,6,19,6019,"Fresno County, California",1008654
70,-120.574655387,35.993654241,831022,CA3599412057519850706,BIG SANDY,Extended,Wildfire,-970,-150,90,187,340,1985/07/06 00:00:00+00,35.994,-120.575,3139,,4781,MTBS,504303519850802,6,-9999,,504303519840730,504303519860720,6,53,6053,"Monterey County, California",439035
71,-120.55856875,36.036927053,831023,CA3603712055919850706,ANDREWS,Extended,Wildfire,-970,-150,130,294,510,1985/07/06 00:00:00+00,36.037,-120.559,5071,,4782,MTBS,504303519850802,38,-9999,,504303519840730,504303519860720,6,53,6053,"Monterey County, California",439035
72,-120.157805549,40.305227703,831024,CA4030512015819850519,SKEDADDLE,Initial,Wildfire,-970,-150,50,205,400,1985/05/19 00:00:00+00,40.305,-120.158,1358,,4783,MTBS,,50,-9999,0,504303219840628,504303219850615,6,35,6035,"Lassen County, California",32730
73,-120.520342045,40.342736334,831026,CA4034312052019850807,BASS HILL,Extended,Wildfire,-970,-150,1,268,550,1985/08/07 00:00:00+00,40.343,-120.52,2495,,4785,MTBS,,-17,-9999,Bass Hill  Perimeter from Aug 25  1985 image,504403219840907,504403219860812,6,35,6035,"Lassen County, California",32730
74,-121.771888375,39.850689764,831027,CA3985112177219850611,ROCK CREEK,Initial,Wildfire,-970,-150,90,355,650,1985/06/11 00:00:00+00,39.851,-121.772,1169,,4786,MTBS,,25,-9999,Rock Creek,504403219840907,504403219850825,6,7,6007,"Butte County, California",211632
75,-122.092925518,38.446152133,831028,CA3844612209319850831,MILLER,Extended,Wildfire,-970,-150,60,273,520,1985/08/31 00:00:00+00,38.446,-122.093,2027,,4787,MTBS,,-33,-9999,,504403319840705,504403319860711,6,95,6095,"Solano County, California",453491
76,-120.013352313,39.768593923,831076,CA3976912001319850708,HAL JNCT 2,Initial,Wildfire,-970,-150,80,162,300,1985/07/08 00:00:00+00,39.769,-120.013,2427,,4840,MTBS,,20,-9999,,504303219840714,504303219850717,6,35,6035,"Lassen County, California",32730
77,-120.739018064,38.156107182,831174,CA3815612073919850917,BEAR MTN. 4,Extended,Prescribed Fire,-970,-150,100,264,475,1985/09/17 00:00:00+00,38.156,-120.739,1473,,4943,MTBS,504303419851005,18,-9999,,504303419840730,504303419860805,6,9,6009,"Calaveras County, California",45292
78,-121.968918133,40.563546674,831175,CA4056412196919850827,BLUE MTN. WEST,Extended,Prescribed Fire,-970,-150,40,9999,9999,1985/08/27 00:00:00+00,40.564,-121.969,4627,,4944,MTBS,,-11,-9999,Blue Mtn West,504403219840907,504403219860812,6,89,6089,"Shasta County, California",182155
79,-119.919202023,34.604134566,831176,CA3460411991919850912,UNNAMED,Initial,Wildfire,-970,-150,145,200,325,1985/09/12 00:00:00+00,34.604,-119.919,2720,,4945,MTBS,,71,-9999,,504203619850726,504203619850912,6,83,6083,"Santa Barbara County, California",448229
80,-120.560737849,35.860626183,831177,CA3586112056119850717,UNNAMED,Initial,Wildfire,-970,-150,220,630,9999,1985/07/17 00:00:00+00,35.861,-120.561,1519,,4946,MTBS,,33,-9999,,504303519840730,504303519850802,6,53,6053,"Monterey County, California",439035
81,-122.855772427,38.858869934,831178,CA3885912285619850613,UNNAMED,Extended,Wildfire,-970,-150,120,350,540,1985/06/13 00:00:00+00,38.859,-122.856,9655,,4947,MTBS,,20,-9999,Perimeter hard to see.,504503319840728,504503319860718,6,45,6045,"Mendocino County, California",91601
82,-120.986485701,36.627708413,831179,CA3662312097919850526,BUMB,Initial (SS),Wildfire,9999,9999,100,-9999,-9999,1985/05/26 00:00:00+00,36.623,-120.979,1298,,4948,MTBS,,-9999,-9999,,,504303519850802,6,69,6069,"San Benito County, California",64209
83,-121.466629399,36.347817762,831180,CA3634812146719850610,PINEY CREEK,Extended,Wildfire,-970,-150,110,281,500,1985/06/10 00:00:00+00,36.348,-121.467,1594,,4949,MTBS,,30,-9999,,504303519840730,504303519860720,6,53,6053,"Monterey County, California",439035
84,-121.16496324,36.064789008,831181,CA3606512116519850708,CHERRY,Extended,Wildfire,-970,-150,100,240,430,1985/07/08 00:00:00+00,36.065,-121.165,41654,,4950,MTBS,504303519850802,-47,-9999,,504303519840730,504303519860720,6,53,6053,"Monterey County, California",439035
85,-116.927364737,32.699261924,831182,CA3269911692719850630,MILLER,Extended,Wildfire,-970,-150,0,240,9999,1985/06/30 00:00:00+00,32.699,-116.927,7809,,4951,MTBS,504003719850712,-69,-9999,,504003719840623,504003719860731,6,73,6073,"San Diego County, California",3298634
86,-117.34193192,33.399550771,831183,CA3340011734219850701,ROBLAR,Extended,Wildfire,-970,-150,40,247,485,1985/07/01 00:00:00+00,33.4,-117.342,7453,,4952,MTBS,504003719850712,45,-9999,,504003719840623,504003719860731,6,73,6073,"San Diego County, California",3298634
87,-116.9466025,32.93207781,831184,CA3293211694719850727,SYCAMORE,Extended,Wildfire,-970,-150,100,315,9999,1985/07/27 00:00:00+00,32.932,-116.947,1012,,4953,MTBS,504003719850728,29,-9999,,504003719850626,504003719860613,6,73,6073,"San Diego County, California",3298634
88,-118.695059082,34.05264099,831185,CA3406011868219851014,PIUMA FIRE,Extended,Wildfire,-970,-150,20,237,9999,1985/10/14 00:00:00+00,34.054,-118.698,5425,,4954,MTBS,,-53,38,,504103619850617,504103619860620,6,37,6037,"Los Angeles County, California",10014009
89,-118.653637659,34.248637289,831186,CA3424911865419851014,BOX CANYON (PIONEER) FIRE,Extended,Wildfire,-970,-150,0,300,9999,1985/10/14 00:00:00+00,34.249,-118.654,1247,,4955,MTBS,,-79,-9999,,504103619850617,504103619860620,6,111,6111,"Ventura County, California",843843
90,-118.864156321,34.109341769,831187,CA3411711885719850630,SHERWOOD FIRE,Extended,Wildfire,-970,-150,-50,300,625,1985/06/30 00:00:00+00,34.117,-118.857,3897,,4956,MTBS,,-70,-9999,by others in prior attempt,504103619850617,504103619860620,6,37,6037,"Los Angeles County, California",10014009
91,-120.689454329,40.591706912,831188,CA4059212068919850708,MURRER,Extended,Wildfire,-970,-150,125,368,650,1985/07/08 00:00:00+00,40.592,-120.689,1201,,4957,MTBS,,34,-9999,Murrer,504403219840907,504403219860812,6,35,6035,"Lassen County, California",32730
92,-122.526628351,38.804696362,831189,CA3880512252719850907,HIDDEN VALLEY,Extended,Wildfire,-970,-150,110,324,580,1985/09/07 00:00:00+00,38.805,-122.527,2042,,4958,MTBS,,36,-9999,,504503319840728,504503319860718,6,33,6033,"Lake County, California",68163
93,-122.103065778,38.74574316,831190,CA3874612210319851008,BALD MT.,Initial (SS),Wildfire,9999,9999,170,-300,-9999,1985/10/08 00:00:00+00,38.746,-122.103,5339,,4959,MTBS,,-9999,-9999,,,504403319851012,6,113,6113,"Yolo County, California",216403
94,-121.390775052,35.857338525,831191,CA3585712139119850803,UNNAMED,Extended,Wildfire,-970,-150,140,360,625,1985/08/03 00:00:00+00,35.857,-121.391,7265,,4960,MTBS,504303519850802,42,-9999,,504303519840730,504303519860720,6,53,6053,"Monterey County, California",439035
95,-117.78387863,33.919050313,831192,CA3391911778419850811,SHELL,Initial,Wildfire,-970,-150,50,400,9999,1985/08/11 00:00:00+00,33.919,-117.784,1425,,4961,MTBS,,9,-9999,new perim w/new imagery for initial assessment,504103619850703,504103619850820,6,59,6059,"Orange County, California",3186989
