OBJECTID,EVENT_ID,FIRE_NAME,FIRE_YEAR,ACRES,ASMNT_TYPE,PREIMGYMD,POSTIMGYMD,UPDATE_YMD,SHAPEAREA,SHAPELEN
2724,CA3391811691120130807,SILVER,2013,20805.38,Initial,20110805,20130810,20221223,0.00820497812085186,0.674430143697445
2725,CA3400311682420130609,HATHAWAY,2013,4046.48,Initial,20130607,20130623,20221223,0.0015985601188344,0.280398089971287
2726,CA3415811689620150617,LAKE,2015,31123.59,Initial,20130810,20150816,20221223,0.0123115403768436,1.23683869774077
2727,CA3425911746120160816,BLUE CUT,2016,36876.53,Initial,20160809,20160825,20221223,0.0146182130191093,1.19799991791821
2728,CA3428811725120160807,PILOT,2016,8267.1,Initial,20160802,20160903,20221223,0.00327651436769439,0.353444280300548
2729,CA3442911910020171205,THOMAS,2017,282158.86,Initial,20160206,20180211,20221223,0.112013601582934,4.46344232496004
2730,CA3443111839820160722,SAND,2016,41561.77,Initial,20160708,20160809,20221223,0.0164873163792006,0.986842941771256
2731,CA3454611980520160818,REY,2016,32653.3,Initial,20160816,20160917,20221223,0.0129829278093278,1.2506565759999
2732,CA3456711995220170708,WHITTIER  CA-LBOR-001770,2017,18510.1,Initial,20160731,20170819,20221223,0.00735518561791859,0.583973310789567
2733,CA3459511843720130530,POWERHOUSE,2013,32331.64,Initial,20130529,20130614,20221223,0.0128670395623449,0.998268523764676
2734,CA3463111923020160630,PINE,2016,2377.79,Initial,20150807,20160724,20221223,0.00094604919305599,0.244087996409284
2735,CA3561311846620160623,ERSKINE,2016,48083.85,Initial,20160622,20160708,20221223,0.0193476929126091,1.61808545633224
2736,CA4090112136820140731,BALD,2014,39831.57,Initial,20140724,20140809,20221223,0.0172189082341909,0.914165711381721
2737,CA3755011992320130616,CARSTENS,2013,1790.54,Initial,20130612,20130628,20221223,0.000738773765069563,0.177623515774188
2738,CA3756511912720180611,LIONS,2018,13984.18,Initial,20171006,20181009,20221223,0.00577222149419561,0.492446272529751
2739,CA3765211988120180713,FERGUSON,2018,96954.42,Initial,20170920,20180923,20221223,0.0400475643479936,1.84002792207919
2740,CA3767511978320140726,EL PORTAL,2014,4748.24,Initial,20130815,20140818,20221223,0.00196336083948005,0.260640962115228
2741,CA3778011892120160917,OWENS RIVER,2016,5618.69,Initial,20160917,20160925,20221223,0.00232494424952785,0.387843839131349
2742,CA3779911892220160804,CLARK,2016,2828.24,Initial,20160731,20160816,20221223,0.00117085239789078,0.187159128828994
2743,CA3787811915920150815,WALKER,2015,3758.76,Initial,20140827,20150830,20221223,0.00155817214257518,0.258735028372576
2744,CA3812011994120170904,CREEK,2017,1745.67,Initial,20161026,20171114,20221223,0.000725791244977292,0.265812505325729
2745,CA3785712008620130817,RIM,2013,257620.89,Initial,20111029,20131018,20221223,0.1068019637623,3.15613102494037
2746,CA3834911992920180801,DONNELL,2018,36764.25,Initial,20171013,20181016,20221223,0.015338869971858,1.97422864402451
2747,CA3564211814820140711,NICOLLS,2014,1780.53,Initial,20130817,20140820,20221223,0.000716943568204646,0.14390086429547
2748,CA3574511858420160816,CEDAR,2016,29201.84,Initial,20160816,20160917,20221223,0.0117818313070027,0.968473158422356
2749,CA3598611856520161030,MEADOW,2016,4346.3,Initial,20161104,20161222,20221223,0.00175758483792814,0.248683328844285
2750,CA3609911841220170624,SCHAEFFER,2017,16218.56,Initial,20160825,20170913,20221223,0.00656820873907106,0.774002557842973
2872,CA3622311855820161021,JACOBSON,2016,1672.61,Initial,20161019,20161104,20221223,0.000678551360737141,0.172319194204544
2873,CA3624611854720150719,CABIN,2015,6941.29,Initial,20141007,20151010,20221223,0.00281692765894202,0.462977515133686
2874,CA3627011849820170925,LION,2017,18917.1,Initial,20161104,20171107,20221223,0.0076780898173205,0.609955516592089
2875,CA3646112190120160722,SOBERANES,2016,132840.89,Initial,20151031,20161026,20221223,0.0539547251219917,3.68127773697609
2876,CA3687411890520150801,ROUGH,2015,145902.33,Initial,20141014,20151009,20221223,0.0596470198969878,2.71260727519133
2877,CA3692911924620161011,SACATA,2016,2101.34,Initial,20160917,20161019,20221223,0.000860078020981975,0.151585106493595
2878,CA3726811933420140728,FRENCH,2014,13828.12,Initial,20140726,20140809,20221223,0.00568696734520462,0.578073141291843
2879,CA3727911931820130722,ASPEN,2013,22729.72,Initial,20110819,20130824,20221223,0.00934906253561075,0.762019124178052
2961,CA4154812306220140731,LOG,2014,3647.59,Initial,20130914,20140901,20221223,0.0015927688898559,0.242530250318125
2963,CA4146612032120170803,PARKER2,2017,7930.94,Initial,20160823,20170902,20221223,0.00345910439311801,0.913086266327876
2964,CA4146912375220150801,NICKOWITZ,2015,8012.16,Initial,20141010,20151013,20221223,0.00349399559515977,0.413417425923527
2982,CA4154912328620170726,BURNEY,2017,1660.82,Initial,20160929,20171002,20221223,0.000725267561641531,0.190480649558342
2983,CA4155612377620150802,PEAK,2015,13794.92,Initial,20141010,20151013,20221223,0.00602841491256725,0.79781184775082
2984,CA4159712349220170725,UKONOM,2017,4245.82,Initial,20160929,20171002,20221223,0.00185537565053717,0.333310938739109
2985,CA4162312355820160607,PONY,2016,2877.54,Initial,20150927,20160929,20221223,0.00125790992417879,0.325588248899981
2986,CA4168212212720140731,LITTLE DEER,2014,5499.71,Initial,20140715,20140807,20221223,0.00240642689857742,0.265868828110447
2987,CA4176412395720150801,COON,2015,5756.59,Initial,20110916,20150927,20221223,0.00252215567256273,0.303618685332643
2991,CA4178612347520170812,OAK,2017,93232.93,Initial,20151013,20171018,20221223,0.0408334190896392,3.3729905233414
2992,CA4179612337420140814,HAPPY CAMP COMPLEX,2014,133177.38,Initial,20131023,20141010,20221223,0.058295955624765,3.16941341605502
2993,CA4180012381520150801,BEAR,2015,11889.1,Initial,20141010,20151013,20221223,0.00521544661255698,0.509637802884037
2994,CA4185212099120170726,STEELE,2017,49144.43,Initial,20160915,20170902,20221223,0.0215734692752973,1.23201083560617
2995,CA4185312311520160828,GAP,2016,33719.96,Initial,20151013,20161008,20221223,0.0147961238690133,0.983273799218568
2996,CA4188012254020180705,KLAMATHON,2018,38202.26,Initial,20170909,20180827,20221223,0.0167891883923882,1.0902977506146
2997,CA4192412288020140730,KNF BEAVER,2014,32494.1,Initial,20140715,20140823,20221223,0.0142647119865877,1.45130088278047
2998,CA4194712334920170808,CEDAR,2017,9531.72,Initial,20161008,20171018,20221223,0.00418791640392133,0.649242448894935
2999,CA4195612355120180715,NATCHEZ,2018,38709.72,Initial,20171018,20181021,20221223,0.0169898006957165,1.47787562739941
3000,CA4198012316420170811,ABNEY,2017,32914.24,Initial,20151022,20171027,20221223,0.0144646969241403,1.28038679456902
3034,CA3628411822820190725,COW,2019,1994.76,Initial,20181018,20191021,20221223,0.000809823793554914,0.159354539266145
3035,CA3703411834520190904,TABOOSE,2019,10515.5,Extended,20180730,20200719,20221223,0.00430908944447218,0.652370903804621
3036,CA3760511996620191006,BRICEBURG,2019,5554.77,Initial,20190926,20191028,20221223,0.00229373289361607,0.267847595265784
3037,CA3782611887220190726,SPRINGS,2019,5260.09,Initial,20181009,20191012,20221223,0.00217865745899557,0.38219683535622
3038,CA3872412014620191010,CAPLES,2019,3503.17,Initial,20181118,20191118,20221223,0.00146816872080209,0.280712490418811
3039,CA4005312066920190904,WALKER,2019,58789.78,Initial,20181007,20191010,20221223,0.0251238593553934,1.48028722563218
3040,CA4010912278920190905,SOUTH,2019,5556.29,Initial,20181115,20191118,20221223,0.00237545697221031,0.670655251888292
3041,CA4088712301420190905,MIDDLE,2019,1342.53,Initial,20181020,20191010,20221223,0.000580451448931772,0.142506877688197
3068,CA3399211696420200731,APPLE,2020,32891.48,Initial,20190912,20200930,20221223,0.0129929242638971,1.22377996852029
3069,CA3405311699120200905,EL DORADO,2020,22848.11,Initial,20191014,20201016,20221223,0.00903269089157505,0.932819939987126
3070,CA3415711791120200813,RANCH2,2020,4213.99,Initial,20191005,20201007,20221223,0.00166795453681099,0.266398621013795
3071,CA3424811795920200906,BOBCAT,2020,115890.43,Initial,20191021,20201007,20221223,0.0459435485839445,3.43891995679404
3072,CA3467911845220200812,LAKE,2020,31150.66,Initial,20190919,20201007,20221223,0.0123995308388021,0.937182775934464
3073,CA3612312160220200819,DOLAN,2020,125384.23,Initial,20191022,20201031,20221223,0.0507636790829216,1.94035703427198
3074,CA3616111845220200819,CASTLE,2020,170673.84,Initial,20191103,20201028,20221223,0.0692251583504263,5.634815490775
3075,CA3714111902520200908,BULLFROG,2020,1066.17,Initial,20181025,20201030,20221223,0.000437506300386615,0.114557423786931
3076,CA3720111927220200905,CREEK,2020,381559.7,Initial,20191123,20201202,20221223,0.156992666863027,5.70050692933274
3077,CA3856811956820200830,SLINK,2020,27259.47,Initial,20181016,20201021,20221223,0.0113956413625098,0.847605166395484
3078,CA3899012039420200908,FORK,2020,1669.59,Initial,20191103,20201102,20221223,0.000702449202148171,0.211746346662985
3079,CA3966012280920200817,AUGUST COMPLEX,2020,1073478.8,Initial,20191104,20201103,20221223,0.457763769859682,8.39756904863421
3080,CA3968112017120200814,LOYALTON,2020,45665.12,Initial,20180930,20201005,20221223,0.0194084146962961,1.15897011952575
3081,CA3981112108620200818,BEAR,2020,318168.48,Initial,20191007,20201016,20221223,0.135270702187328,4.33779599809413
3082,CA4027912076220200817,SHEEP,2020,29545.49,Initial,20190917,20201005,20221223,0.0126699370195917,0.984663202578908
3083,CA4042112086320200718,HOG,2020,9573.01,Initial,20190828,20200901,20221223,0.00411085375375174,0.562193092593117
3084,CA4102912028120200818,W-5 COLD SPRINGS,2020,84466.21,Initial,20191010,20201012,20221223,0.0366357795174473,1.68598571211212
3085,CA4106412076220200720,GOLD,2020,22654.26,Initial,20190823,20200827,20221223,0.00982134988857942,0.996609628186477
3086,CA4119412345820200727,RED,2020,144408.31,Initial,20191010,20201019,20221223,0.0626574493334865,2.66922135296057
3087,CA4121212284720200914,FOX,2020,2116.8,Initial,20181014,20201019,20221223,0.000920136068734429,0.212220787594473
